sample_id,source_mission,split,label,scan_age_max,scan_age_p95,scan_gap_max,scan_valid_fraction_min,tf_map_odom_age_max,tf_map_odom_age_p95,tf_odom_base_age_max,amcl_position_step_max,tf_map_odom_position_step_max,amcl_tf_jump_product,wheel_opposite_forward_fraction,wheel_opposite_motion_fraction,right_negative_forward_fraction,left_negative_forward_fraction,right_negative_straight_fraction,left_negative_straight_fraction,left_cmd_sign_disagreement_fraction,right_cmd_sign_disagreement_fraction,wheel_velocity_difference_mean,wheel_velocity_difference_p95,wheel_velocity_difference_max,wheel_velocity_product_min,wheel_velocity_product_p05,left_wheel_abs_mean,right_wheel_abs_mean,left_cmd_vx_correlation,right_cmd_vx_correlation,linear_motion_error_p95,angular_motion_error_p95,odom_imu_yaw_error_p95,command_active_fraction,straight_forward_fraction,cmd_vx_abs_mean,cmd_wz_abs_mean,fault_start_s,fault_duration_s,localization_offset_m,modified_wheel,modified_samples
healthy_001__Healthy__015,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.201879796,0.8722222222222222,0.2057569300000032,0.20004212344999964,0.033635942,0.2625406489326475,0.0465044710120376,0.012209313997769845,0.06,0.09,0.0,0.06,0.0,0.0,0.0,0.0,2.22674507547595,8.719330074811307,8.84069636940364,-18.553987950468755,-12.987365578679071,5.398365197540094,7.022306343296836,0.814317485639271,0.3950407987176622,0.025556152103310737,0.10210139172389752,0.017015213264508767,1.0,0.71,0.1983473684210525,0.2518461538461539,,,,,
healthy_001__Healthy__016,healthy_001,train,Healthy,0.1895928849999997,0.18786636935000284,0.2016897370000023,0.8694444444444445,0.1857043470000015,0.18062951790000414,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4724586834838305,5.584209287078812,7.441952891344951,-0.00242118745229055,-9.94093830252541e-06,3.6443375963876212,4.99124687828957,0.04723428501586209,0.46523879110333477,0.023149800634956176,0.09205247198863163,0.009224624352163252,0.68,0.45,0.14288421052631575,0.17044102564102567,,,,,
healthy_001__Healthy__017,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.201879796,0.8722222222222222,0.2096844240000006,0.20169689010000072,0.033635942,0.2625406489326475,0.0864186749102557,0.022688414990838037,0.06,0.09,0.0,0.06,0.0,0.0,0.0,0.0,2.866202114631355,8.794405658603507,9.058848562370144,-18.553987950468755,-12.987365578679071,3.2895973786739017,5.637806907586185,0.7714034541284353,0.5370726965812632,0.05057587732275793,0.15361094323995994,0.023127541118722613,0.74,0.35,0.1927418207681365,0.44288288288288297,,,,,
healthy_001__Healthy__018,healthy_001,train,Healthy,0.1694637820000082,0.16733907750000512,0.2016897370000023,0.8555555555555555,0.1654865659999984,0.1590260145000044,0.0340767710000022,0.2611468410094815,0.0362140760754777,0.009457191567188042,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,3.2194202666140654,8.652202284508355,8.692697736053308,-18.89074827409834,-18.715151017203898,4.558356162221526,4.843875060281815,0.754993060774866,0.8652834038219624,0.013367597827548261,0.16286218302095343,0.020325253759642694,1.0,0.42,0.12956842105263153,0.3656102564102563,,,,,
healthy_001__Healthy__019,healthy_001,train,Healthy,0.1833656700000006,0.1813254535000016,0.2016897370000023,0.8694444444444445,0.180901342999995,0.17470827665000704,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8793105529230199,5.584209287078812,7.441952891344951,-0.00242118745229055,-9.94093830252541e-06,3.9312946086822746,4.72550516696742,0.1300904970891375,0.30994627888458365,0.0141456756087727,0.10822842930320814,0.009226763782741888,0.68,0.38,0.14323157894736838,0.2201846153846153,,,,,
healthy_001__Healthy__020,healthy_001,train,Healthy,0.1745684310000044,0.1733403426500085,0.2016897370000023,0.8555555555555555,0.1708412589999994,0.1622195375999979,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.731128095804617,7.879525489490718,8.672683257611936,-18.803858664682565,-15.059784558039444,4.402913227325241,5.067061528120704,0.6873015103086971,0.8618968882118805,0.021668953277037946,0.1599902869927775,0.02071547159737717,0.92,0.42,0.1470526315789473,0.3181743589743589,,,,,
healthy_001__Healthy__021,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.2013216809999995,0.8916666666666667,0.2017480969999994,0.19409264300000076,0.0332836660000026,0.2724371570507145,0.0310259651166499,0.008452625731134738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37860675780453584,1.5104155424539276,3.7265828923525577,-0.00242118745229055,-9.94093830252541e-06,4.868521633592845,4.993369205598193,0.46297401109513336,0.6347267441327635,0.023078198372993075,0.0892794719203893,0.010024988007329606,0.77,0.77,0.16152631578947363,0.037948717948717875,,,,,
healthy_001__Healthy__022,healthy_001,train,Healthy,0.1602957350000053,0.1577654804000044,0.2015482879999979,0.8555555555555555,0.1558168500000007,0.14932447935000176,0.0325286710000014,0.2552422104589066,0.0587062941950697,0.014984324298200468,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.12760458252182,8.659456556709424,8.692697736053308,-18.89074827409834,-18.7465482926564,3.0729014741292557,2.525379124972143,0.7528412390057341,0.773617305577472,0.013367597827548261,0.16268076456660832,0.02079918415792188,0.79,0.21,0.05442105263157892,0.3539589743589742,,,,,
healthy_001__Healthy__023,healthy_001,train,Healthy,0.1654948800000042,0.1634419677500016,0.2015482879999979,0.8555555555555555,0.161086491000006,0.15470187170000282,0.0325286710000014,0.2552422104589066,0.0587062941950697,0.014984324298200468,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.565318973187116,8.659456556709424,8.692697736053308,-18.89074827409834,-18.7465482926564,4.120779316602339,3.960744782745216,0.7428870451800985,0.8558000038768274,0.013367597827548261,0.16268076456660832,0.02079918415792188,0.98,0.33,0.09506315789473678,0.40472820512820507,,,,,
healthy_001__Healthy__024,healthy_001,train,Healthy,0.1733422550000014,0.1710857757000017,0.2016897370000023,0.8555555555555555,0.1690852040000052,0.16176430245000437,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,2.9670934221062164,7.879525489490718,8.672683257611936,-18.803858664682565,-15.059784558039444,4.492922040676884,5.2130180410706615,0.7346818631866386,0.8398472803317362,0.021668953277037946,0.16136365520982837,0.02071547159737717,0.97,0.42,0.14786315789473675,0.34144615384615384,,,,,
healthy_001__Healthy__025,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.201879796,0.8722222222222222,0.2096844240000006,0.2001609775000004,0.033635942,0.2625406489326475,0.0698504388308429,0.018338579538879695,0.06,0.09,0.0,0.06,0.0,0.0,0.0,0.0,2.5128991855019898,8.719330074811307,8.84069636940364,-18.553987950468755,-12.987365578679071,5.260658301684937,7.195018295196918,0.8004337828287768,0.42566567921968207,0.025556152103310737,0.12244153051743313,0.019013417957008644,1.0,0.67,0.19857894736842094,0.2799282051282052,,,,,
healthy_001__Healthy__026,healthy_001,train,Healthy,0.1964181120000034,0.1945042091499997,0.2016897370000023,0.8722222222222222,0.1935366140000027,0.1865288303000015,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.910327819483605,5.584209287078812,7.441952891344951,-0.00242118745229055,-9.94093830252541e-06,3.9230430821841162,4.656659996978317,0.08663988493836,0.4095785555111502,0.02315495221947877,0.07323257507204933,0.007995067124846895,0.68,0.56,0.14253684210526313,0.10582564102564099,,,,,
healthy_001__Healthy__027,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.201879796,0.8722222222222222,0.2096844240000006,0.20175470574999943,0.033635942,0.2625406489326475,0.0864186749102557,0.022688414990838037,0.06,0.09,0.0,0.06,0.0,0.0,0.0,0.0,2.8552507390285125,8.794405658603507,9.058848562370144,-18.553987950468755,-12.987365578679071,2.954298558141994,5.313473528375491,0.7781103684375873,0.5619818966681948,0.0521271142802579,0.15606119043722644,0.023127541118722613,0.69,0.3,0.19127002288329517,0.47311780007432175,,,,,
healthy_001__Healthy__028,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.201879796,0.8722222222222222,0.2096844240000006,0.20090834819999992,0.033635942,0.2625406489326475,0.0864186749102557,0.022688414990838037,0.06,0.09,0.0,0.06,0.0,0.0,0.0,0.0,2.894291513103003,8.794405658603507,9.058848562370144,-18.553987950468755,-12.987365578679071,4.784093167028038,7.104591474302995,0.7581284415610716,0.4511456343561438,0.03901582645197971,0.144791202538413,0.023127541118722613,0.97,0.58,0.19741454150841015,0.34104150145387263,,,,,
healthy_001__Healthy__029,healthy_001,train,Healthy,0.1792396499999995,0.17830595739999744,0.2016897370000023,0.8555555555555555,0.1755731120000021,0.1691730067500049,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.004516663847518,5.584209287078812,7.441952891344951,-1.027375573829228e-05,-9.47516752656918e-06,3.958832461312698,4.626656601495637,0.47188631889300614,0.7152963165309483,0.012971635845008008,0.10822842930320814,0.009947739911760218,0.73,0.42,0.14323157894736838,0.23223589743589737,,,,,
healthy_001__Healthy__030,healthy_001,train,Healthy,0.1754816390000044,0.1742543935999997,0.2016897370000023,0.8555555555555555,0.1709109800000021,0.16554982204999855,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,2.5240820277743117,7.501253839512696,8.672683257611936,-18.803858664682565,-8.436065113627606,4.313421637692407,4.949507049723231,0.646064063591931,0.8838413780439202,0.021668953277037946,0.15130814371295334,0.013579922077055566,0.88,0.42,0.14612631578947363,0.29382564102564096,,,,,
healthy_001__Healthy__031,healthy_001,train,Healthy,0.1602957350000053,0.15841069310000255,0.2015482879999979,0.8555555555555555,0.1558168500000007,0.14932447935000176,0.0325286710000014,0.2552422104589066,0.0587062941950697,0.014984324298200468,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.13985467643039,8.659456556709424,8.692697736053308,-18.89074827409834,-18.7465482926564,3.14568137645916,2.585884216844066,0.7581279146399256,0.7806371130934339,0.013367597827548261,0.16268076456660832,0.02079918415792188,0.8,0.22,0.056621052631578926,0.35626666666666656,,,,,
healthy_001__Healthy__032,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.2013216809999995,0.8833333333333333,0.2057569300000032,0.19697997505000045,0.0332836660000026,0.2724371570507145,0.0310259651166499,0.008452625731134738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7172242611918169,3.8280196939694124,6.370824619473895,-0.00242118745229055,-9.94093830252541e-06,5.133834428771415,5.5976835987103035,0.238477578405496,0.47778152298769855,0.023135524090245788,0.09163557638631205,0.010024988007329606,0.84,0.77,0.1764631578947368,0.07564102564102558,,,,,
healthy_001__Healthy__033,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.2013216809999995,0.8916666666666667,0.2013584240000021,0.19355899850000258,0.0332836660000026,0.2724371570507145,0.0310259651166499,0.008452625731134738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27844716182654755,1.0729034131298523,1.5421511407873876,-0.00242118745229055,-9.94093830252541e-06,4.65568788444528,4.680159470996689,0.5580868453892031,0.6981673752197821,0.023078198372993075,0.06216936496707423,0.008192790927547926,0.73,0.73,0.15295789473684204,0.02769230769230762,,,,,
healthy_001__Healthy__034,healthy_001,train,Healthy,0.1958482660000022,0.19429071374999912,0.2016897370000023,0.8722222222222222,0.1916778740000033,0.1857455183000015,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922926377676025,5.584209287078812,7.441952891344951,-0.00242118745229055,-9.94093830252541e-06,3.9146181555446105,4.665069194961904,0.08095348614146645,0.4152778188996226,0.02315495221947877,0.07323257507204933,0.007995067124846895,0.68,0.56,0.14253684210526313,0.10736410256410255,,,,,
healthy_001__Healthy__035,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.201879796,0.8722222222222222,0.2096844240000006,0.2001609775000004,0.033635942,0.2625406489326475,0.0821103814965567,0.021557312842213246,0.06,0.09,0.0,0.06,0.0,0.0,0.0,0.0,2.6544696225231017,8.719330074811307,8.84069636940364,-18.553987950468755,-12.987365578679071,5.189832976738652,7.265763407271744,0.7821451581153637,0.42551571340493893,0.025556152103310737,0.12244153051743313,0.019013417957008644,1.0,0.65,0.198578947368421,0.2963384615384616,,,,,
healthy_001__Healthy__036,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.201879796,0.8722222222222222,0.2096844240000006,0.20136580635000198,0.033635942,0.2625406489326475,0.0864186749102557,0.022688414990838037,0.06,0.09,0.0,0.06,0.0,0.0,0.0,0.0,2.8750720694654617,8.794405658603507,9.058848562370144,-18.553987950468755,-12.987365578679071,4.392048554860315,6.731769128920633,0.7580637097313228,0.4761214149498775,0.042536446125834154,0.14681222552292825,0.023127541118722613,0.91,0.52,0.19617987275882004,0.3609918286841365,,,,,
healthy_001__Healthy__037,healthy_001,train,Healthy,0.1958319960000025,0.19411384635000326,0.2016897370000023,0.8722222222222222,0.1911595350000006,0.18418841775000094,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9397340497069122,5.584209287078812,7.441952891344951,-0.00242118745229055,-9.94093830252541e-06,3.907577252189508,4.67910504292789,0.07622331485980563,0.4236030008490252,0.02315495221947877,0.09205247198863163,0.007995067124846895,0.68,0.55,0.14253684210526316,0.11095384615384614,,,,,
healthy_001__Healthy__038,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.201879796,0.8722222222222222,0.2057569300000032,0.20004212344999964,0.033635942,0.2625406489326475,0.0465044710120376,0.012209313997769845,0.06,0.09,0.0,0.06,0.0,0.0,0.0,0.0,2.22674507547595,8.719330074811307,8.84069636940364,-18.553987950468755,-12.987365578679071,5.398365197540094,7.022306343296836,0.814317485639271,0.3950407987176622,0.025556152103310737,0.10210139172389752,0.017015213264508767,1.0,0.71,0.1983473684210525,0.2518461538461539,,,,,
healthy_001__Healthy__039,healthy_001,train,Healthy,0.1811220029999987,0.1790134670999968,0.2016897370000023,0.8555555555555555,0.180901342999995,0.17192960550000572,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9831588667866797,5.584209287078812,7.441952891344951,-1.0586519322212007e-05,-9.7959341751186e-06,3.892001317462091,4.581386582149512,0.33015001227927443,0.6362143310623702,0.012971635845008008,0.10822842930320814,0.009947739911760218,0.7,0.4,0.14149473684210523,0.2304410256410256,,,,,
healthy_001__Healthy__040,healthy_001,train,Healthy,0.1984622410000014,0.19732296575000205,0.2016897370000023,0.8805555555555555,0.1935366140000027,0.1867527847999998,0.0332836660000026,0.2724371570507145,0.0258541851989668,0.0070436407134691756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7912436636879717,5.584209287078812,7.441952891344951,-0.00242118745229055,-9.94093830252541e-06,4.001304380437088,4.58547395585842,0.11857511705670223,0.37893861363878334,0.02315495221947877,0.06229041640698364,0.007960257857142125,0.68,0.56,0.1423052631578947,0.0940307692307692,,,,,
healthy_001__Healthy__041,healthy_001,train,Healthy,0.1694637820000082,0.16727908079999873,0.2016897370000023,0.8555555555555555,0.1654865659999984,0.1590260145000044,0.0340767710000022,0.2611468410094815,0.0362140760754777,0.009457191567188042,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,3.197659333646969,8.652202284508355,8.692697736053308,-18.89074827409834,-18.715151017203898,4.523864205041045,4.7663262792338825,0.7598651594584396,0.8667473933886606,0.013367597827548261,0.16286218302095343,0.020325253759642694,1.0,0.42,0.12748421052631576,0.3617128205128204,,,,,
healthy_001__Healthy__042,healthy_001,train,Healthy,0.1786099270000036,0.17743897515000592,0.2016897370000023,0.8555555555555555,0.1755731120000021,0.1691730067500049,0.0340767710000022,0.2724371570507145,0.0362140760754777,0.00986605993122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0245939738513434,5.584209287078812,7.441952891344951,-9.618336098390753e-06,-8.895471738823676e-06,4.0215427216486,4.669017120804782,0.6056779477246954,0.7823224339049993,0.012971635845008008,0.10822842930320814,0.009947739911760218,0.77,0.42,0.14485263157894732,0.23428717948717945,,,,,
healthy_001__Healthy__043,healthy_001,train,Healthy,0.2001320389999996,0.1987062160000027,0.201879796,0.8833333333333333,0.2057569300000032,0.19697997505000045,0.0332836660000026,0.2724371570507145,0.0310259651166499,0.008452625731134738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8714870236449103,4.720735112905506,6.442734352162472,-0.00242118745229055,-9.94093830252541e-06,5.256483589691193,5.87476289259323,0.21876269896191738,0.4146468191088651,0.023135524090245788,0.0927556761687187,0.013318876148291168,0.87,0.77,0.18283157894736835,0.09390769230769226,,,,,
healthy_001__Healthy__044,healthy_001,train,Healthy,0.1694637820000082,0.16727908079999873,0.2016897370000023,0.8555555555555555,0.1654865659999984,0.1590260145000044,0.0340767710000022,0.2611468410094815,0.0362140760754777,0.009457191567188042,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,3.197659333646969,8.652202284508355,8.692697736053308,-18.89074827409834,-18.715151017203898,4.523864205041045,4.7663262792338825,0.7598651594584396,0.8667473933886606,0.013367597827548261,0.16286218302095343,0.020325253759642694,1.0,0.42,0.12748421052631576,0.3617128205128204,,,,,
healthy_001__Healthy__045,healthy_001,train,Healthy,0.1712790759999976,0.16947353155000788,0.2016897370000023,0.8555555555555555,0.1690852040000052,0.16116120645000573,0.0340767710000022,0.2611468410094815,0.0362140760754777,0.009457191567188042,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,3.081172473486687,7.879525489490718,8.672683257611936,-18.803858664682565,-15.248647067997686,4.51209237302273,5.170951860803099,0.7793611465130076,0.8516866706206789,0.014097492545503153,0.16286218302095343,0.020325253759642694,1.0,0.42,0.14242105263157886,0.3492615384615384,,,,,
